strategy,sl,tp,min_liquidity_m,max_positions,threshold,dynamic_sizing,return_pct,win_rate,max_drawdown,sharpe,total_trades,score
T1_top5,3,6,0.0,1,0.0,True,2802.69,75.0,-17.86,10.53,72,1713.4154665959702
T1_top5,3,6,0.0,1,0.55,False,2802.69,75.0,-17.86,10.53,72,1713.4154665959702
T1_top5,3,6,0.0,1,0.55,True,2802.69,75.0,-17.86,10.53,72,1713.4154665959702
T1_top5,3,6,0.0,1,0.0,False,2802.69,75.0,-17.86,10.53,72,1713.4154665959702
T1_blended_top5,0,0,0.0,5,0.6,False,1111.74,70.79,-7.43,11.96,315,1709.1518861209966
T3_top5,3,6,0.0,5,0.6,False,585.39,65.91,-3.76,12.44,264,1652.865882352941
T3_top5,2,4,0.0,5,0.58,False,607.42,64.57,-4.05,12.7,302,1647.8522772277227
T1_top5,3,6,0.0,3,0.55,True,2623.59,72.92,-17.86,10.69,96,1626.1806521739131
T1_top5,3,6,0.0,3,0.0,True,2623.59,72.92,-17.86,10.69,96,1626.1806521739131
T1_top5,3,6,0.0,3,0.6,True,2623.59,72.92,-17.86,10.69,96,1626.1806521739131
T1_top5,3,6,0.0,3,0.58,True,2623.59,72.92,-17.86,10.69,96,1626.1806521739131
T1_blended_top5,0,0,0.0,3,0.0,True,3713.94,81.19,-24.82,10.14,101,1602.3738032532922
T1_blended_top5,0,0,0.0,3,0.55,True,3713.94,81.19,-24.82,10.14,101,1602.3738032532922
T1_blended_top5,3,6,0.0,3,0.58,False,1206.31,62.66,-8.83,11.93,233,1586.7332960325534
T3_top5,5,10,0.0,5,0.58,False,825.3,65.15,-6.77,13.55,198,1545.445945945946
T3_top5,5,10,0.0,3,0.55,False,1179.02,64.66,-8.8,11.8,116,1539.9444897959183
T1_blended_top5,5,10,0.0,5,0.58,True,2644.25,73.11,-18.55,10.36,119,1536.5053708439898
T3_top5,2,4,0.0,5,0.6,False,578.4,65.26,-4.05,12.4,285,1534.7643564356435
T3_top5,7,14,0.0,3,0.58,False,1103.73,68.52,-7.73,10.9,108,1504.5116838487972
T3_top5,5,10,0.0,5,0.55,False,805.69,64.04,-6.87,13.46,203,1480.340203303685
T1_top5,2,4,0.0,5,0.0,True,2102.96,71.3,-15.29,10.41,115,1472.9756660527935
